iter	Passed	Remaining
441	1266	4464
442	1269	4461
443	1271	4457
444	1274	4454
445	1277	4450
446	1279	4446
447	1282	4444
448	1285	4441
449	1288	4437
450	1290	4433
451	1293	4430
452	1296	4428
453	1299	4424
454	1301	4421
455	1304	4417
456	1307	4413
457	1309	4410
458	1313	4408
459	1315	4405
460	1318	4402
461	1321	4400
462	1324	4397
463	1327	4394
464	1330	4391
465	1333	4388
466	1336	4385
467	1338	4382
468	1341	4379
469	1344	4376
470	1347	4373
471	1349	4369
472	1352	4366
473	1355	4363
474	1359	4363
475	1361	4360
476	1364	4357
477	1367	4354
478	1370	4352
479	1374	4351
480	1376	4348
481	1379	4345
482	1382	4342
483	1385	4339
484	1388	4337
485	1391	4334
486	1394	4331
487	1396	4328
488	1399	4325
489	1402	4323
490	1405	4320
491	1408	4317
492	1411	4314
493	1414	4312
494	1417	4310
495	1420	4307
496	1423	4304
497	1425	4300
498	1428	4297
499	1431	4294
500	1434	4292
501	1438	4291
502	1440	4288
503	1443	4286
504	1447	4284
505	1450	4282
506	1453	4279
507	1456	4277
508	1459	4274
509	1462	4271
510	1465	4268
511	1467	4266
512	1471	4264
513	1473	4261
514	1476	4258
515	1479	4255
516	1482	4253
517	1485	4250
518	1488	4247
519	1491	4244
520	1494	4242
521	1497	4239
522	1500	4237
523	1503	4234
524	1506	4231
525	1508	4228
526	1511	4224
527	1514	4221
528	1516	4218
529	1519	4215
530	1522	4212
531	1525	4209
532	1528	4206
533	1530	4202
534	1534	4201
535	1537	4198
536	1540	4196
537	1543	4193
538	1546	4191
539	1549	4189
540	1552	4186
541	1555	4183
542	1557	4179
543	1560	4176
544	1563	4173
545	1566	4171
546	1569	4170
547	1572	4167
548	1576	4165
549	1580	4165
550	1583	4163
551	1586	4160
552	1589	4157
553	1591	4155
554	1594	4152
555	1597	4149
556	1600	4146
557	1603	4143
558	1606	4140
559	1609	4138
560	1611	4134
561	1614	4131
562	1617	4127
563	1619	4124
564	1622	4121
565	1625	4118
566	1628	4115
567	1630	4111
568	1633	4108
569	1636	4106
570	1640	4104
571	1643	4101
572	1645	4098
573	1648	4096
574	1651	4093
575	1654	4090
576	1657	4087
577	1660	4084
578	1662	4080
579	1665	4077
580	1668	4074
581	1670	4071
582	1673	4067
583	1676	4064
584	1678	4060
585	1681	4057
586	1684	4054
587	1686	4050
588	1689	4047
589	1692	4043
590	1694	4040
591	1697	4037
592	1700	4034
593	1702	4030
594	1705	4027
595	1708	4023
596	1710	4020
597	1713	4017
598	1716	4013
599	1718	4010
600	1721	4006
601	1724	4004
602	1727	4002
603	1730	3999
604	1733	3997
605	1736	3994
606	1740	3993
607	1742	3990
608	1745	3986
609	1748	3983
610	1750	3979
611	1753	3976
612	1756	3973
613	1758	3970
614	1761	3967
615	1764	3964
616	1766	3960
617	1769	3957
618	1772	3954
619	1775	3951
620	1777	3947
621	1780	3944
622	1782	3940
623	1785	3938
624	1788	3934
625	1791	3931
626	1793	3928
627	1796	3924
628	1799	3921
629	1801	3918
630	1804	3915
631	1807	3911
632	1809	3908
633	1812	3904
634	1815	3901
635	1817	3898
636	1820	3895
637	1823	3891
638	1825	3888
639	1828	3885
640	1831	3882
641	1834	3879
642	1836	3876
643	1839	3873
644	1842	3869
645	1844	3866
646	1847	3863
647	1849	3859
648	1852	3856
649	1855	3853
650	1857	3849
651	1860	3846
652	1863	3843
653	1865	3840
654	1868	3836
655	1871	3833
656	1873	3830
657	1876	3827
658	1879	3824
659	1881	3820
660	1884	3817
661	1887	3814
662	1890	3811
663	1893	3808
664	1895	3805
665	1898	3802
666	1901	3799
667	1903	3796
668	1906	3793
669	1909	3790
670	1912	3787
671	1914	3783
672	1917	3780
673	1921	3779
674	1923	3776
675	1926	3773
676	1929	3770
677	1932	3767
678	1935	3764
679	1937	3761
680	1940	3758
681	1943	3755
682	1946	3752
683	1948	3749
684	1951	3746
685	1954	3743
686	1956	3740
687	1959	3736
688	1962	3733
689	1965	3730
690	1967	3727
691	1970	3724
692	1972	3721
693	1975	3717
694	1978	3714
695	1981	3711
696	1983	3708
697	1986	3705
698	1988	3701
699	1991	3698
700	1994	3695
701	1997	3692
702	1999	3689
703	2002	3686
704	2004	3682
705	2007	3679
706	2010	3676
707	2013	3673
708	2015	3670
709	2018	3667
710	2021	3664
711	2024	3661
712	2026	3658
713	2029	3655
714	2031	3651
715	2034	3648
716	2037	3645
717	2040	3642
718	2042	3639
719	2045	3636
720	2048	3633
721	2050	3629
722	2053	3627
723	2056	3624
724	2058	3620
725	2061	3617
726	2064	3614
727	2066	3611
728	2069	3608
729	2072	3605
730	2075	3602
731	2077	3599
732	2080	3596
733	2083	3593
