iter	Logloss
0	0.6734665256
1	0.6538458252
2	0.6358529324
3	0.6187004259
4	0.6083516439
5	0.5959203423
6	0.5842757161
7	0.5743824599
8	0.5641916233
9	0.5545404731
10	0.5452973768
11	0.5350761583
12	0.5279101563
13	0.5224542236
14	0.5156981744
15	0.5097130669
16	0.504855957
17	0.498943278
18	0.4960793728
19	0.4917532349
20	0.4868318346
21	0.4808444553
22	0.4775261434
23	0.4729645454
24	0.4689155409
25	0.4644638401
26	0.4606248305
27	0.4572028944
28	0.4516003418
29	0.4474815877
30	0.4442496067
31	0.4411539035
32	0.4385456679
33	0.4356755914
34	0.434261339
35	0.433279758
36	0.4303190104
37	0.4271907891
38	0.4245981174
39	0.4217699856
40	0.4198325602
41	0.4183988444
42	0.4156297133
43	0.4137842136
44	0.4096925863
45	0.4072513156
46	0.4042640516
47	0.4016104465
48	0.3998091634
49	0.3976715766
50	0.3956984456
51	0.3936879476
52	0.3908303833
53	0.3891905382
54	0.3865779283
55	0.383911065
56	0.3822207981
57	0.380576511
58	0.3785255941
59	0.3776906331
60	0.375015191
61	0.3725368245
62	0.3700560845
63	0.3684703234
64	0.366707628
65	0.3641500854
66	0.3623905436
67	0.3602623155
68	0.3580773926
69	0.355916782
70	0.3544136895
71	0.3533883667
72	0.3518982273
73	0.3502300347
74	0.346796875
75	0.3454337565
76	0.3443134562
77	0.3430607775
78	0.3413261244
79	0.3401414998
80	0.3387687853
81	0.3380190023
82	0.3358239068
83	0.3338970947
84	0.3322331746
85	0.3308842638
86	0.3296281603
87	0.3279869927
88	0.3262571886
89	0.323786282
90	0.321709866
91	0.3194936117
92	0.3176380073
93	0.3157146539
94	0.3151703898
95	0.3133037313
96	0.3111671278
97	0.3099553765
98	0.3082885403
99	0.3071727837
100	0.3069022624
101	0.3049834527
102	0.3040536838
103	0.3029869927
104	0.3015122477
105	0.299985928
106	0.298752577
107	0.2969684516
108	0.29575609
109	0.2948465305
110	0.2934299384
111	0.2922840373
112	0.2912498305
113	0.2905543688
114	0.2894674004
115	0.288286811
116	0.2875024414
117	0.2866450331
118	0.2856873237
119	0.2851579454
120	0.2841525099
121	0.2830084907
122	0.2820366753
123	0.2805860901
124	0.2788979424
125	0.2767729017
126	0.2762133959
127	0.2750980632
128	0.2736819288
129	0.2719137573
130	0.2711257087
131	0.2704430135
132	0.2697025723
133	0.269173584
134	0.2678087023
135	0.2664246284
136	0.2648495992
137	0.263589681
138	0.2613460965
139	0.2608543905
140	0.2590601095
141	0.2576857842
142	0.2562466939
143	0.2548683506
144	0.2537285868
145	0.2522623698
146	0.2510878669
147	0.2498098246
148	0.2482214355
149	0.247539978
150	0.2465802002
151	0.2453162977
152	0.2442827352
153	0.2432546658
154	0.2420522732
155	0.240843438
156	0.2403681946
157	0.2393413628
158	0.239005483
159	0.2376028273
160	0.2366755846
161	0.2358084785
162	0.2338979255
163	0.2328873189
164	0.2313475545
165	0.2302586534
166	0.2299694655
167	0.2296273804
168	0.2285281542
169	0.2280423652
170	0.2275615607
171	0.226329244
172	0.2257406786
173	0.2245128716
174	0.2241519165
175	0.2224220785
176	0.2214733209
177	0.220532057
178	0.2199034288
179	0.2187100389
180	0.2181340027
181	0.2173511251
182	0.2166121419
183	0.2159818522
184	0.2144325595
185	0.2132070584
186	0.212225274
187	0.211165941
188	0.2100118679
189	0.2085723877
190	0.2077408515
191	0.2068743896
192	0.205730523
193	0.2046912977
194	0.2037854343
195	0.203005049
196	0.2024991353
197	0.2014372932
198	0.200872345
199	0.2001108975
200	0.1990439351
201	0.1985562981
202	0.1979265171
203	0.196988661
204	0.1961176554
205	0.1955259026
206	0.1943359884
207	0.193522678
208	0.1933355035
209	0.1930984667
210	0.1926446872
211	0.1922768148
212	0.1910564507
213	0.1900736491
214	0.1898755222
215	0.189759318
216	0.188501553
217	0.187829149
218	0.1865341187
219	0.1857381354
220	0.1851361423
221	0.184142829
222	0.183423072
223	0.1826827325
224	0.181857978
225	0.1812513224
226	0.1803786214
227	0.1795719401
228	0.1785022142
229	0.1776971096
230	0.1766999308
231	0.1758925374
232	0.1753325229
233	0.1746641032
234	0.1738978746
235	0.1732125854
236	0.172431132
237	0.1715073649
238	0.1706308492
239	0.1698675028
240	0.1697224257
241	0.1690212165
242	0.1684069485
243	0.167810652
244	0.1674640062
245	0.1667004903
